,date,event,city
42,2013-07-05,Festival Della Tradizione,Amalfi Coast
32,2014-05-22,Festival Della Tradizione,Amalfi Coast
59,2015-06-13,Festival Della Tradizione,Amalfi Coast
19,2013-05-01,Labour Day,Amalfi Coast
27,2014-05-01,Labour Day,Amalfi Coast
11,2015-05-01,Labour Day,Amalfi Coast
38,2016-05-01,Labour Day,Amalfi Coast
5,2013-07-29,Positano Teatro Festival,Amalfi Coast
48,2014-07-29,Positano Teatro Festival,Amalfi Coast
37,2015-07-30,Positano Teatro Festival,Amalfi Coast
1,2013-11-10,Athens Classical Marathon,Athens
2,2014-11-09,Athens Classical Marathon,Athens
5,2015-11-08,Athens Classical Marathon,Athens
21,2014-05-01,Dia Del Trabajador,Barcelona
12,2015-05-01,Dia Del Trabajador,Barcelona
51,2013-02-24,Mobile World Congress,Barcelona
32,2014-02-23,Mobile World Congress,Barcelona
33,2015-03-02,Mobile World Congress,Barcelona
9,2016-02-22,Mobile World Congress,Barcelona
41,2013-05-22,Primavera Sound,Barcelona
3,2014-05-29,Primavera Sound,Barcelona
54,2015-05-27,Primavera Sound,Barcelona
16,2016-06-01,Primavera Sound,Barcelona
29,2013-06-13,Sonar Festival,Barcelona
13,2014-06-12,Sonar Festival,Barcelona
30,2015-06-18,Sonar Festival,Barcelona
39,2016-06-16,Sonar Festival,Barcelona
13,2013-11-08,Boston Christmas Festival,Boston
23,2014-11-07,Boston Christmas Festival,Boston
6,2015-11-06,Boston Christmas Festival,Boston
11,2013-04-14,Boston Marathon,Boston
16,2014-04-20,Boston Marathon,Boston
24,2015-04-19,Boston Marathon,Boston
17,2016-04-17,Boston Marathon,Boston
2,2014-09-18,Na,Boston
19,2015-03-08,Na,Boston
26,2013-06-26,State Of Origin,Brisbane
18,2014-05-28,State Of Origin,Brisbane
0,2015-07-08,State Of Origin,Brisbane
10,2013-12-26,Christmas,Budapest
13,2014-12-26,Christmas,Budapest
3,2015-12-26,Christmas,Budapest
5,2014-01-01,New Years,Budapest
9,2015-01-01,New Years,Budapest
4,2016-01-01,New Years,Budapest
8,2013-08-17,Sziget Festival End,Budapest
6,2014-08-17,Sziget Festival End,Budapest
